review_text,aspect,sentiment,rating,timestamp,asin,category
nice! i had my original ones from forever 21 stolen from me so these are a perfect replacement! they are funky and accent my face well. love them!,quality,positive,5.0,1470367995000,B00N3NW6Y4,Amazon_Fashion
nice! i had my original ones from forever 21 stolen from me so these are a perfect replacement! they are funky and accent my face well. love them!,style/design,positive,5.0,1470367995000,B00N3NW6Y4,Amazon_Fashion
Looked great but broke after two days at the link connecting to the clasp (supposed to be stationary). Does NOT come with tool to size the links.,design,negative,1.0,1553587068133,B01N5EO2PE,Amazon_Fashion
Looked great but broke after two days at the link connecting to the clasp (supposed to be stationary). Does NOT come with tool to size the links.,durability,negative,1.0,1553587068133,B01N5EO2PE,Amazon_Fashion
Looked great but broke after two days at the link connecting to the clasp (supposed to be stationary). Does NOT come with tool to size the links.,accessories,negative,1.0,1553587068133,B01N5EO2PE,Amazon_Fashion
"The fit is adjustable and soft against face, not abrasive!",fit,positive,5.0,1638375215167,B08W45LYHQ,Amazon_Fashion
"The fit is adjustable and soft against face, not abrasive!",softness,positive,5.0,1638375215167,B08W45LYHQ,Amazon_Fashion
"I actually love the shirt, but I purchased it in the light green and it looks like I'm wearing scrubs. I will purchase again in a different color",shirt,positive,3.0,1633361145474,B08Q84B3BP,Amazon_Fashion
"I actually love the shirt, but I purchased it in the light green and it looks like I'm wearing scrubs. I will purchase again in a different color",color (light green),negative,3.0,1633361145474,B08Q84B3BP,Amazon_Fashion
"Beautiful photo, the colors are very vivid. It makes a very attractive mouse pad.",photo,positive,5.0,1452391318000,B019ERKH7K,Amazon_Fashion
"Beautiful photo, the colors are very vivid. It makes a very attractive mouse pad.",colors,positive,5.0,1452391318000,B019ERKH7K,Amazon_Fashion
"Beautiful photo, the colors are very vivid. It makes a very attractive mouse pad.",mouse pad,positive,5.0,1452391318000,B019ERKH7K,Amazon_Fashion
"Just as pictured. I like the dual zip. Washed well. Purchased the army green, color as expected. I’m 5 ft and typically use XL, ordered 1 size up because was concerned how it fit around the hips, but I really didn’t need to. But I do like the look so keeping it. Looking forward to using this fall.",dual zip,positive,5.0,1568499015974,B07JH86J1X,Amazon_Fashion
"Just as pictured. I like the dual zip. Washed well. Purchased the army green, color as expected. I’m 5 ft and typically use XL, ordered 1 size up because was concerned how it fit around the hips, but I really didn’t need to. But I do like the look so keeping it. Looking forward to using this fall.",color accuracy,positive,5.0,1568499015974,B07JH86J1X,Amazon_Fashion
"Just as pictured. I like the dual zip. Washed well. Purchased the army green, color as expected. I’m 5 ft and typically use XL, ordered 1 size up because was concerned how it fit around the hips, but I really didn’t need to. But I do like the look so keeping it. Looking forward to using this fall.",washability,neutral,5.0,1568499015974,B07JH86J1X,Amazon_Fashion
"Just as pictured. I like the dual zip. Washed well. Purchased the army green, color as expected. I’m 5 ft and typically use XL, ordered 1 size up because was concerned how it fit around the hips, but I really didn’t need to. But I do like the look so keeping it. Looking forward to using this fall.",fit around the hips,neutral,5.0,1568499015974,B07JH86J1X,Amazon_Fashion
"Husbands loves this shirt.  It is really soft.  Washed nicely, I hung it up immediately after taking out of dryer.  Looks great",softness,positive,5.0,1479184973000,B01KAMUP4S,Amazon_Fashion
"Husbands loves this shirt.  It is really soft.  Washed nicely, I hung it up immediately after taking out of dryer.  Looks great",washability,neutral,5.0,1479184973000,B01KAMUP4S,Amazon_Fashion
"Husbands loves this shirt.  It is really soft.  Washed nicely, I hung it up immediately after taking out of dryer.  Looks great",appearance,positive,5.0,1479184973000,B01KAMUP4S,Amazon_Fashion
There is no white on this shirt. It came out PINK! Its going back. Yahtzee is not PINK!,color,negative,1.0,1606663709587,B08KWKM589,Amazon_Fashion
"be aware: if you want to return the bowties, there is a charge for the return. It is not like most other items on amazon that have free returns. I did not realize this when I purchased them",return policy,negative,1.0,1550839236596,B01IU854XQ,Amazon_Fashion
This hoodie is big enough to fit almost anybody. It's nice and warm and got a big pocket too. I recommend my friend keep warm when you are within. Thank you. Brother Oran Z,size,positive,5.0,1667585218757,B0B5R23VYJ,Amazon_Fashion
This hoodie is big enough to fit almost anybody. It's nice and warm and got a big pocket too. I recommend my friend keep warm when you are within. Thank you. Brother Oran Z,warmth,positive,5.0,1667585218757,B0B5R23VYJ,Amazon_Fashion
This hoodie is big enough to fit almost anybody. It's nice and warm and got a big pocket too. I recommend my friend keep warm when you are within. Thank you. Brother Oran Z,pocket size,positive,5.0,1667585218757,B0B5R23VYJ,Amazon_Fashion
"Pretty bracellet & easy to put on, unlike many bracelets.",design/look,positive,5.0,1501212013705,B00NS8YAHU,Amazon_Fashion
"Pretty bracellet & easy to put on, unlike many bracelets.",ease of use,positive,5.0,1501212013705,B00NS8YAHU,Amazon_Fashion
"I love how it feels. I should have just ordered the size i normally wear M but after reading reviews of people going up a size i decided to do the same. Its a little loose around my thighs, legs and knees. Im sure it would have fit perfectly if i got a M instead of a L. I am 5'5"" 180lbs. I still love them!",fit,negative,5.0,1608752685581,B06VSH2K6G,Amazon_Fashion
"I love how it feels. I should have just ordered the size i normally wear M but after reading reviews of people going up a size i decided to do the same. Its a little loose around my thighs, legs and knees. Im sure it would have fit perfectly if i got a M instead of a L. I am 5'5"" 180lbs. I still love them!",size,neutral,5.0,1608752685581,B06VSH2K6G,Amazon_Fashion
"Wow it was suggested to order one size smaller so I did. It's way too big on me. The size chart is wrong, I know this because my grandmother is a tailor and I know how to measure accurately. The sizes are based on American Women stores, where the size small is actually approximately size 10-14. If you're used to euro sizes forget about this outfit. My measurements 34-29-36, ordered S.",size chart,negative,1.0,1500517319730,B071GBDNYY,Amazon_Fashion
"Wow it was suggested to order one size smaller so I did. It's way too big on me. The size chart is wrong, I know this because my grandmother is a tailor and I know how to measure accurately. The sizes are based on American Women stores, where the size small is actually approximately size 10-14. If you're used to euro sizes forget about this outfit. My measurements 34-29-36, ordered S.",fit,negative,1.0,1500517319730,B071GBDNYY,Amazon_Fashion
"I love this hat! It fits well and it's so warm!! It's made very well too. You know how it feels to lay your head down on a soft pillow and you get that ahh feeling? This hat does that to me. It not only keeps me warm, it comforts my head! Buy it. You won't be sorry.",fit,positive,5.0,1576175105368,B07HQGTDXL,Amazon_Fashion
"I love this hat! It fits well and it's so warm!! It's made very well too. You know how it feels to lay your head down on a soft pillow and you get that ahh feeling? This hat does that to me. It not only keeps me warm, it comforts my head! Buy it. You won't be sorry.",warmth,positive,5.0,1576175105368,B07HQGTDXL,Amazon_Fashion
"I love this hat! It fits well and it's so warm!! It's made very well too. You know how it feels to lay your head down on a soft pillow and you get that ahh feeling? This hat does that to me. It not only keeps me warm, it comforts my head! Buy it. You won't be sorry.",quality of construction,positive,5.0,1576175105368,B07HQGTDXL,Amazon_Fashion
"Great tank. I am a S/M, 36C. It fit perfectly well. Material is okay, no complaints.",fit,positive,5.0,1596334385607,B086VN8Y95,Amazon_Fashion
"Great tank. I am a S/M, 36C. It fit perfectly well. Material is okay, no complaints.",material,neutral,5.0,1596334385607,B086VN8Y95,Amazon_Fashion
These shorts are great for working out in! They are comfortable and fit great. Highly recommend!,comfort,positive,5.0,1628520063848,B096ZTHJNG,Amazon_Fashion
These shorts are great for working out in! They are comfortable and fit great. Highly recommend!,fit,positive,5.0,1628520063848,B096ZTHJNG,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",cute,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",well made,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",quality,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",fit,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",loose fitting,neutral,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",comfortable,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",sleeves,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
"This shirt is super cute and well made. I was very impressed with the quality. I love how it fits. I'm 5'2&#34; and only 100 lbs so even a size small is often too big on me. This short looked like it would be too big when I first opened it, but after trying it on I really liked the way it fit. It is loose fitting and very comfortable. I love the sleeves and the design on front too, and it happens to be my favorite color! It's super cute to pair with either jeans or leggings.<br />*I received this product for free in return for my honest and unbiased opinion. All thoughts and words are my own!*",design on front,positive,5.0,1467811131000,B01FTXSB1C,Amazon_Fashion
